res_share,CCGT [GWh],OCGT [GWh],coal [GWh],onwind [GWh],ror [GWh],solar [GWh],hydro [GWh]
10%,19369.88,537.52,77797.77,668.06,495.61,470.93,9221.53
15%,19369.88,537.52,72369.7,668.06,495.61,470.93,14649.59
20%,19315.52,477.3,67056.21,1779.48,495.61,1056.0,18381.18
25%,14160.98,289.76,66970.24,5579.42,495.61,2684.12,18381.18
30%,11375.49,119.04,64498.38,6493.41,495.61,7198.2,18381.18
35%,9563.88,94.17,60906.79,9178.63,495.61,9941.04,18381.18
40%,8622.44,83.58,56430.75,10193.82,495.61,14353.91,18381.18
45%,8145.06,78.74,51484.92,17146.97,495.61,12828.83,18381.18
50%,7964.72,75.94,46239.99,23058.04,495.61,12345.82,18381.18
55%,7783.44,73.67,40995.48,28305.99,495.61,12525.94,18381.18
60%,7231.14,67.94,36125.44,32684.45,495.61,13575.55,18381.18
