RES Share (%),Total Cost (M€),Capital Cost (M€),Marginal Cost (M€)
10.0,3254.7889357887016,189.3195923584916,3019.2663721795184
15.0,3128.9243077908736,189.3195923584916,2866.205825523046
20.0,3022.213835636808,196.78216495552198,2733.3442699840134
25.0,3199.5793796572957,521.2684490159279,2586.2213028458254
30.0,3416.3646295511653,870.4760901918031,2453.7891949137343
35.0,3676.1782621656107,1238.1949852087937,2345.8940304915927
40.0,3949.804098401088,1617.1893524587592,2240.517094243343
45.0,4243.067661943107,1980.399051160487,2170.5735532144577
50.0,4548.866342585279,2357.660059263425,2099.1209808780422
55.0,4858.927759822505,2742.4856956056205,2024.3471409537053
60.0,5188.163550466972,3155.4419476827725,1940.6384162885677
