RES Share, Technology, Capital Cost (€/kW), Marginal Cost (€/MWh)
10%      , CCGT      ,           165439.47,                 40.3
10%      , coal      ,           640516.16,                 28.21
10%      , onwind    ,           185745.45,                 15.01
10%      , solar     ,            83748.9 ,                 10.01
10%      , OCGT      ,            78307.83,                 54.76
10%      , ror       ,           563087.72,                 10.2
10%      , offwind-ac,           392629.25,                 20.01
10%      , offwind-dc,           406103.94,                 20.01
10%      , load      ,                0.0 ,               1010.21
15%      , CCGT      ,           165439.47,                 40.3
15%      , coal      ,           640516.16,                 28.21
15%      , onwind    ,           185745.45,                 15.01
15%      , solar     ,            83748.9 ,                 10.01
15%      , OCGT      ,            78307.83,                 54.76
15%      , ror       ,           563087.72,                  9.78
15%      , offwind-ac,           392629.25,                 20.01
15%      , offwind-dc,           406103.94,                 20.01
15%      , load      ,                0.0 ,               1010.19
20%      , CCGT      ,           165439.47,                 40.3
20%      , coal      ,           640516.16,                 28.21
20%      , onwind    ,           185745.45,                 15.01
20%      , solar     ,            83748.9 ,                 10.01
20%      , OCGT      ,            78307.83,                 54.76
20%      , ror       ,           563087.72,                  9.72
20%      , offwind-ac,           392629.25,                 20.01
20%      , offwind-dc,           406103.94,                 20.01
20%      , load      ,                0.0 ,               1009.93
25%      , CCGT      ,           165439.47,                 40.3
25%      , coal      ,           640516.16,                 28.21
25%      , onwind    ,           185745.45,                 15.01
25%      , solar     ,            83748.9 ,                 10.01
25%      , OCGT      ,            78307.83,                 54.76
25%      , ror       ,           563087.72,                  9.88
25%      , offwind-ac,           392629.25,                 20.01
25%      , offwind-dc,           406103.94,                 20.01
25%      , load      ,                0.0 ,               1009.95
30%      , CCGT      ,           165439.47,                 40.3
30%      , coal      ,           640516.16,                 28.21
30%      , onwind    ,           185745.45,                 15.01
30%      , solar     ,            83748.9 ,                 10.01
30%      , OCGT      ,            78307.83,                 54.76
30%      , ror       ,           563087.72,                 10.03
30%      , offwind-ac,           392629.25,                 20.01
30%      , offwind-dc,           406103.94,                 20.01
30%      , load      ,                0.0 ,               1009.88
35%      , CCGT      ,           165439.47,                 40.3
35%      , coal      ,           640516.16,                 28.21
35%      , onwind    ,           185745.45,                 15.01
35%      , solar     ,            83748.9 ,                 10.01
35%      , OCGT      ,            78307.83,                 54.76
35%      , ror       ,           563087.72,                  9.92
35%      , offwind-ac,           392629.25,                 20.01
35%      , offwind-dc,           406103.94,                 20.01
35%      , load      ,                0.0 ,               1009.99
40%      , CCGT      ,           165439.47,                 40.3
40%      , coal      ,           640516.16,                 28.21
40%      , onwind    ,           185745.45,                 15.01
40%      , solar     ,            83748.9 ,                 10.01
40%      , OCGT      ,            78307.83,                 54.76
40%      , ror       ,           563087.72,                 10.3
40%      , offwind-ac,           392629.25,                 20.01
40%      , offwind-dc,           406103.94,                 20.01
40%      , load      ,                0.0 ,               1009.95
45%      , CCGT      ,           165439.47,                 40.3
45%      , coal      ,           640516.16,                 28.21
45%      , onwind    ,           185745.45,                 15.01
45%      , solar     ,            83748.9 ,                 10.01
45%      , OCGT      ,            78307.83,                 54.76
45%      , ror       ,           563087.72,                 10.11
45%      , offwind-ac,           392629.25,                 20.01
45%      , offwind-dc,           406103.94,                 20.01
45%      , load      ,                0.0 ,               1009.99
50%      , CCGT      ,           165439.47,                 40.3
50%      , coal      ,           640516.16,                 28.21
50%      , onwind    ,           185745.45,                 15.01
50%      , solar     ,            83748.9 ,                 10.01
50%      , OCGT      ,            78307.83,                 54.76
50%      , ror       ,           563087.72,                 10.03
50%      , offwind-ac,           392629.25,                 20.01
50%      , offwind-dc,           406103.94,                 20.01
50%      , load      ,                0.0 ,               1009.83
55%      , CCGT      ,           165439.47,                 40.3
55%      , coal      ,           640516.16,                 28.21
55%      , onwind    ,           185745.45,                 15.01
55%      , solar     ,            83748.9 ,                 10.01
55%      , OCGT      ,            78307.83,                 54.76
55%      , ror       ,           563087.72,                  9.63
55%      , offwind-ac,           392629.25,                 20.01
55%      , offwind-dc,           406103.94,                 20.01
55%      , load      ,                0.0 ,               1009.93
60%      , CCGT      ,           165439.47,                 40.3
60%      , coal      ,           640516.16,                 28.21
60%      , onwind    ,           185745.45,                 15.01
60%      , solar     ,            83748.9 ,                 10.01
60%      , OCGT      ,            78307.83,                 54.76
60%      , ror       ,           563087.72,                  9.56
60%      , offwind-ac,           392629.25,                 20.01
60%      , offwind-dc,           406103.94,                 20.01
60%      , load      ,                0.0 ,               1009.86
